epoch,metric,series,value
1,accuracy,train,0.2621063773485049
1,accuracy,val_clean,0.34375
1,loss,train,1.9984005014869264
1,learning_rate,lr,0.0003
2,accuracy,train,0.36252976978036516
2,accuracy,val_clean,0.37276785714285715
2,loss,train,1.7363886186198982
2,learning_rate,lr,0.00029917828430524096
3,accuracy,train,0.448266737232072
3,accuracy,val_clean,0.43941326530612246
3,loss,train,1.5301846847801683
3,learning_rate,lr,0.0002967221401100708
4,accuracy,train,0.4734056628737761
4,accuracy,val_clean,0.4805484693877551
4,loss,train,1.44737113455863
4,learning_rate,lr,0.00029265847744427303
5,accuracy,train,0.5063508864779042
5,accuracy,val_clean,0.48788265306122447
5,loss,train,1.375509145273106
5,learning_rate,lr,0.0002870318186463901
6,accuracy,train,0.5432654141307224
6,accuracy,val_clean,0.5130739795918368
6,loss,train,1.2882016137277805
6,learning_rate,lr,0.0002799038105676658
7,accuracy,train,0.5604657316750463
7,accuracy,val_clean,0.5631377551020408
7,loss,train,1.2420576822981693
7,learning_rate,lr,0.0002713525491562421
8,accuracy,train,0.5878539296110082
8,accuracy,val_clean,0.5848214285714286
8,loss,train,1.1719073075786348
8,learning_rate,lr,0.00026147172382160914
9,accuracy,train,0.6114051336332363
9,accuracy,val_clean,0.6058673469387755
9,loss,train,1.1104903408193374
9,learning_rate,lr,0.00025036959095382875
10,accuracy,train,0.6288700714474729
10,accuracy,val_clean,0.6361607142857143
10,loss,train,1.0553576537906004
10,learning_rate,lr,0.000238167787843871
11,accuracy,train,0.6546705477639587
11,accuracy,val_clean,0.6374362244897959
11,loss,train,0.9969892731006892
11,learning_rate,lr,0.00022500000000000002
12,accuracy,train,0.663799947075946
12,accuracy,val_clean,0.6466836734693877
12,loss,train,0.9499527847176981
12,learning_rate,lr,0.0002110104964613701
13,accuracy,train,0.6909235247419953
13,accuracy,val_clean,0.6670918367346939
13,loss,train,0.8876801642137534
13,learning_rate,lr,0.00019635254915624216
14,accuracy,train,0.7078592220164065
14,accuracy,val_clean,0.6788903061224489
14,loss,train,0.8461398399201105
14,learning_rate,lr,0.00018118675362266393
15,accuracy,train,0.7271765017200318
15,accuracy,val_clean,0.6670918367346939
15,loss,train,0.7905047798510044
15,learning_rate,lr,0.0001656792694901481
16,accuracy,train,0.7377613125165388
16,accuracy,val_clean,0.6935586734693877
16,loss,train,0.7600832007555269
16,learning_rate,lr,0.0001500000000000001
17,accuracy,train,0.7558878010055571
17,accuracy,val_clean,0.689094387755102
17,loss,train,0.7004004045749158
17,learning_rate,lr,0.00013432073050985205
18,accuracy,train,0.7721619476051865
18,accuracy,val_clean,0.6868622448979592
18,loss,train,0.6639682545742406
18,learning_rate,lr,0.00011881324637733612
19,accuracy,train,0.785657581370733
19,accuracy,val_clean,0.7174744897959183
19,loss,train,0.6282537616759767
19,learning_rate,lr,0.00010364745084375793
20,accuracy,train,0.795845461762371
20,accuracy,val_clean,0.717155612244898
20,loss,train,0.5931940297501275
20,learning_rate,lr,8.898950353863002e-05
21,accuracy,train,0.8118549880920879
21,accuracy,val_clean,0.7044005102040817
21,loss,train,0.5499983990782309
21,learning_rate,lr,7.500000000000005e-05
22,accuracy,train,0.8233659698332892
22,accuracy,val_clean,0.7174744897959183
22,loss,train,0.5209525661766292
22,learning_rate,lr,6.183221215612906e-05
23,accuracy,train,0.8332892299550145
23,accuracy,val_clean,0.7213010204081632
23,loss,train,0.4913937154428831
23,learning_rate,lr,4.963040904617133e-05
24,accuracy,train,0.8397724265678751
24,accuracy,val_clean,0.7273596938775511
24,loss,train,0.4686956186676568
24,learning_rate,lr,3.852827617839091e-05
25,accuracy,train,0.8502249272294258
25,accuracy,val_clean,0.7286352040816326
25,loss,train,0.4437165874184424
25,learning_rate,lr,2.8647450843757908e-05
26,accuracy,train,0.8511510981741202
26,accuracy,val_clean,0.7260841836734694
26,loss,train,0.42084090122827367
26,learning_rate,lr,2.00961894323342e-05
27,accuracy,train,0.8658375231542736
27,accuracy,val_clean,0.7283163265306123
27,loss,train,0.4022031750241169
27,learning_rate,lr,1.2968181353609857e-05
28,accuracy,train,0.8612066684308018
28,accuracy,val_clean,0.7270408163265306
28,loss,train,0.4062964395418089
28,learning_rate,lr,7.341522555726972e-06
29,accuracy,train,0.8682191055834877
29,accuracy,val_clean,0.7295918367346939
29,loss,train,0.3878709917725883
29,learning_rate,lr,3.2778598899291474e-06
30,accuracy,train,0.8695422069330511
30,accuracy,val_clean,0.7273596938775511
30,loss,train,0.3862438937203062
30,learning_rate,lr,8.2171569475899e-07
