epoch,metric,series,value
1,accuracy,train,0.19423127811590368
1,accuracy,val_clean,0.24426020408163265
1,loss,train,2.086634562740442
1,learning_rate,lr,0.0001
2,accuracy,train,0.2030960571579783
2,accuracy,val_clean,0.31186224489795916
2,loss,train,2.068829673217951
2,learning_rate,lr,0.00028
3,accuracy,train,0.26898650436623445
3,accuracy,val_clean,0.3354591836734694
3,loss,train,1.9790504946851264
3,learning_rate,lr,0.00045999999999999996
4,accuracy,train,0.2933315691982006
4,accuracy,val_clean,0.39732142857142855
4,loss,train,1.9376463652224918
4,learning_rate,lr,0.0006399999999999999
5,accuracy,train,0.3101349563376555
5,accuracy,val_clean,0.38010204081632654
5,loss,train,1.9226630396172937
5,learning_rate,lr,0.00082
6,accuracy,train,0.32032283672929346
6,accuracy,val_clean,0.43558673469387754
6,loss,train,1.9053392286305706
6,learning_rate,lr,0.001
7,accuracy,train,0.3416247684572638
7,accuracy,val_clean,0.4387755102040816
7,loss,train,1.8734976184781376
7,learning_rate,lr,0.0009995614150494292
8,accuracy,train,0.35220957925377083
8,accuracy,val_clean,0.4298469387755102
8,loss,train,1.869183348297095
8,learning_rate,lr,0.0009982464296247522
9,accuracy,train,0.3629267001852342
9,accuracy,val_clean,0.49362244897959184
9,loss,train,1.855599315149439
9,learning_rate,lr,0.000996057350657239
10,accuracy,train,0.37232071976713416
10,accuracy,val_clean,0.4856505102040816
10,loss,train,1.838400830822541
10,learning_rate,lr,0.0009929980185352525
11,accuracy,train,0.3850224927229426
11,accuracy,val_clean,0.5143494897959183
11,loss,train,1.8231379864044877
11,learning_rate,lr,0.0009890738003669028
12,accuracy,train,0.3938872717650172
12,accuracy,val_clean,0.5191326530612245
12,loss,train,1.793462179709629
12,learning_rate,lr,0.0009842915805643154
13,accuracy,train,0.39984122783805237
13,accuracy,val_clean,0.5341198979591837
13,loss,train,1.7924147217827016
13,learning_rate,lr,0.0009786597487660333
14,accuracy,train,0.4241862926700185
14,accuracy,val_clean,0.5545280612244898
14,loss,train,1.7593416135820266
14,learning_rate,lr,0.0009721881851187403
15,accuracy,train,0.4305371791479227
15,accuracy,val_clean,0.5220025510204082
15,loss,train,1.7618267341844933
15,learning_rate,lr,0.0009648882429441254
16,accuracy,train,0.4335803122519185
16,accuracy,val_clean,0.5736607142857143
16,loss,train,1.747021941887572
16,learning_rate,lr,0.0009567727288213001
17,accuracy,train,0.44390050277851284
17,accuracy,val_clean,0.5825892857142857
17,loss,train,1.7312623036857255
17,learning_rate,lr,0.0009478558801197062
18,accuracy,train,0.4568668960042339
18,accuracy,val_clean,0.5848214285714286
18,loss,train,1.7061973013679765
18,learning_rate,lr,0.0009381533400219316
19,accuracy,train,0.45554379465467054
19,accuracy,val_clean,0.6355229591836735
19,loss,train,1.7125890140149858
19,learning_rate,lr,0.0009276821300802532
20,accuracy,train,0.46996559936491134
20,accuracy,val_clean,0.623405612244898
20,loss,train,1.6901296553519642
20,learning_rate,lr,0.0009164606203550496
21,accuracy,train,0.4978830378406986
21,accuracy,val_clean,0.6240433673469388
21,loss,train,1.6526715962714573
21,learning_rate,lr,0.0009045084971874736
22,accuracy,train,0.4982799682455676
22,accuracy,val_clean,0.6839923469387755
22,loss,train,1.6553612484695988
22,learning_rate,lr,0.0008918467286629198
23,accuracy,train,0.5150833553850225
23,accuracy,val_clean,0.6530612244897959
23,loss,train,1.615739380754974
23,learning_rate,lr,0.0008784975278258781
24,accuracy,train,0.5144218047102408
24,accuracy,val_clean,0.673469387755102
24,loss,train,1.6418514561798245
24,learning_rate,lr,0.0008644843137107056
25,accuracy,train,0.5379730087324689
25,accuracy,val_clean,0.689094387755102
25,loss,train,1.5790265625385609
